assembly_models_name,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
BELL 429,M086,25,DGAC AD F 2005-135,Equipment /Furnishings inspection and replacement of the reading lights electrical power supplies of some SICMA aero seats,MIS,13-Aug-2005,DGCA/New-Misc/86,,,0:00, ,"Passenger seats, of which P/N are identified in the table of this AD, produced by SICMA AERO SEAT."
BELL 429,M086,25,DGAC AD F 2005-135,Equipment /Furnishings inspection and replacement of the reading lights electrical power supplies of some SICMA aero seats,MIS,13-Aug-2005,DGCA/New-Misc/86,,,0:00, ,"Passenger seats, of which P/N are identified in the table of this AD, produced by SICMA AERO SEAT."
BELL 429,M086,25,DGAC AD F 2005-135,Equipment /Furnishings inspection and replacement of the reading lights electrical power supplies of some SICMA aero seats,MIS,13-Aug-2005,DGCA/New-Misc/86,,,0:00, ,"Passenger seats, of which P/N are identified in the table of this AD, produced by SICMA AERO SEAT."
BELL 429,M087,34,FAA AD 2005-25-08,To prevent certain air data computers( ADC) from displaying in correct altitude information (SHADINADC2000),MIS#,23-Jan-2006,DGCA/New-Misc/87,,,0:00, ,"Shadin ADC-2000 ADC P/N 962830A-1-S-8,962830A-2-S-8,962830A-3-S-8, configurations B, C, and D, that are installed"
BELL 429,M087,34,FAA AD 2005-25-08,To prevent certain air data computers(ADC) from displaying incorrect altitude information (SHADIN ADC 2000),MIS,23-Jan-2006,DGCA/New-Misc/87,,,0:00, ,"Shadin ADC-2000 ADC P/N 962830A-1-S-8,962830A-2-S-8,962830A-3-S-8, configurations B, C, and D, that are installed"
BELL 429,M087,34,FAA AD 2005-25-08,To prevent certain air data computers(ADC) from displaying incorrect altitude information (SHADIN ADC 2000),MIS,23-Jan-2006,DGCA/New-Misc/87,,,0:00, ,"Shadin ADC-2000 ADC P/N 962830A-1-S-8,962830A-2-S-8,962830A-3-S-8, configurations B, C, and D, that are installed"
BELL 429,M087,34,FAA AD 2005-25-08,To prevent certain air data computers(ADC) from displaying incorrect altitude information (SHADIN ADC 2000),MIS,23-Jan-2006,DGCA/New-Misc/87,,,0:00, ,"Shadin ADC-2000 ADC P/N 962830A-1-S-8,962830A-2-S-8,962830A-3-S-8, configurations B, C, and D, that are installed"
BELL 429,M087,34,FAA AD 2005-25-08,To prevent certain air data computers(ADC) from displaying incorrect altitude information (SHADIN ADC 2000),MIS,23-Jan-2006,DGCA/New-Misc/87,,,0:00, ,"Shadin ADC-2000 ADC P/N 962830A-1-S-8,962830A-2-S-8,962830A-3-S-8, configurations B, C, and D, that are installed"
BELL 429,M087,34,FAA AD 2005-25-08,To prevent certain Air Data Computers(ADC) from displaying incorrect altitude information (SHADIN ADC 2000),MIS,23-Jan-2006,DGCA/New-Misc/87,,,0:00, ,"Shadin ADC-2000 ADC P/N 962830A-1-S-8,962830A-2-S-8, 962830A-3-S-8, configurations B, C, and D, that are installed."
BELL 429,M087,34,FAA AD 2005-25-08,To prevent certain air data computers(ADC) from displaying incorrect altitude information (SHADIN ADC 2000),MIS,23-Jan-2006,DGCA/New-Misc/87,,,0:00, ,"Shadin ADC-2000 ADC P/N 962830A-1-S-8,962830A-2-S-8,962830A-3-S-8, configurations B, C, and D, that are installed"
BELL 429,M087,34,faa ad 2005-25-08,To prevent certain air data computers(ADC) from displaying in correct altitude information (SHADIN ADC200),MIS,23-Jan-2006,DGCA/New-Misc/87,,,0:00, ,"Shadin ADC-2000 ADC P/N 962830A-1-S-8,962830A-2-S-8,96 2830A-3-S-8, configurations B, C, and D, that are installed"
BELL 429,M087,34,faa ad 2005-25-08,To prevent certain air data computers(ADC) from displaying in correct altitude information (SHADIN ADC200),MIS,23-Jan-2006,DGCA/New-Misc/87,,,0:00, ,"Shadin ADC-2000 ADC P/N 962830A-1-S-8,962830A-2-S-8,96 2830A-3-S-8, configurations B, C, and D, that are installed"
BELL 429,M088,37,FAA AD 2006-03-08,To prevent vaccum pump failure or malfunction during instrument flight rules (IFR)Flight.,MIS#,10-Mar-2006,DGCA/New-Misc/88,,,0:00, ,Aero Advantage ADV200 series P/Ns ADV211CC and ADV212CW) vacuum pumps installed(but not limited to refer AD)
BELL 429,M088,37,FAA AD 2006-13-08,To prevent vacuum pump failure or malfunction during instrument flight rules (IFR) Flight,MIS,10-Mar-2006,DGCA/New-Misc/88,,,0:00, ,Aero Advantage ADV200 series P/Ns ADV211CC and ADV212CW) vacuum pumps installed(but not limited to refer AD)
BELL 429,M088,37,FAA AD 2006-03-08,To prevent vacuum pump failure or malfunction during IFR flight,MIS,10-Mar-2006,DGCA/New-Misc/88,,,0:00, ,Aero Advantage ADV200 series P/Ns ADV211CC and ADV212CW) vacuum pumps installed (but not limited to refer AD).
BELL 429,M088,37,FAA AD 2006-13-08,To prevent vacuum pump failure or malfunction during instrument flight rules (IFR) Flight,MIS,10-Mar-2006,DGCA/New-Misc/88,,,0:00, ,Aero Advantage ADV200 series P/Ns ADV211CC and ADV212CW) vacuum pumps installed(but not limited to refer AD)
BELL 429,M088,37,FAA AD 2006-03-08,To prevent vacuum pump failure or malfunction during instrument flight rules (IFR) flight,MIS,10-Mar-2006,DGCA/New-Misc/88,,,0:00, ,Aero Advantage ADV200 series P/Ns ADV211CC and ADV212CW) vacuum pumps installed(but not limited to refer AD)
BELL 429,M088,37,FAA AD 2006-03-08,To prevent vacuum pump failure or malfunction during instrument flight rules (IFR) flight,MIS,10-Mar-2006,DGCA/New-Misc/88,,,0:00, ,Aero Advantage ADV200 series P/Ns ADV211CC and ADV212CW) vacuum pumps installed(but not limited to refer AD)
BELL 429,M088,37,FAA AD 2006-03-08,To prevent vacuum pump failure or malfunction during instrument flight rules (IFR) flight,MIS,10-Mar-2006,DGCA/New-Misc/88,,,0:00, ,Aero Advantage ADV200 series P/Ns ADV211CC and ADV212CW) vacuum pumps installed(but not limited to refer AD)
BELL 429,M088,37,FAA AD 2006-03-08,To prevent vacuum pump failure or malfunction during instrument flight rules (IFR) flight,MIS,10-Mar-2006,DGCA/New-Misc/88,,,0:00, ,Aero Advantage ADV200 series P/Ns ADV211CC and ADV212CW) vacuum pumps installed(but not limited to refer AD)
BELL 429,M088,37,FAA AD 2006-03-08,To prevent vacuum pump failure or malfunction during instrument flight rules (IFR) flight,MIS,10-Mar-2006,DGCA/New-Misc/88,,,0:00, ,Aero Advantage ADV200 series P/Ns ADV211CC and ADV212CW) vacuum pumps installed(but not limited to refer AD)
BELL 429,M089,100,FAA AD 2006-04-04,To identify and provide correct action for potentially inoperative smoke detector.,MIS#,24-Mar-2006,DGCA/New-Misc/89,,,0:00, ,Meggitt Model 602 smoke detectors approved under TSO-C1C and having any P/N 8930-( ):Refer table-1 of this AD.
BELL 429,M089,100,FAA AD 2006-04-04,To Identify and Provide Corrective Action for a Potentially Inoperative Smoke Detector,MIS,24-Mar-2006,DGCA/New-Misc/89,,,0:00, ,Meggitt Model 602 smoke detectors approved under TSO-C1C and having any P/N 8930-( ):Refer table-1 of this AD.
BELL 429,M089,100,FAA AD 2006-04-04,To Identify and Provide Corrective Action for a Potentially Inoperative Smoke Detector,MIS,24-Mar-2006,DGCA/New-Misc/89,,,0:00, ,Meggitt Model 602 smoke detectors approved under TSO-C1C and having any P/N 8930-( ):Refer table-1 of this AD.
BELL 429,M089,100,FAA AD 2006-04-04,To Identify and Provide Corrective Action for a Potentially Inoperative Smoke Detector,MIS,24-Mar-2006,DGCA/New-Misc/89,,,0:00, ,Meggitt Model 602 smoke detectors approved under TSO-C1C and having any P/N 8930-( ):Refer table-1 of this AD.
BELL 429,M090,32,FAA AD 2006-12-08,To prevent loss of pressure in the skid slides/rafts after an emergency evacuation.,MIS#,17-Jul-2006,DGCA/New-Misc/90,,,0:00, ,Model A330-201/-202/-203/-223/-243/-301/-321/-322/- 323/-341/-342/-343 airplanes;Model A340-211/-212/-213/ - 311/-312/-313 airplanes;A340-541/-642 airplanes.
BELL 429,M090,32,FAA AD 2006-12-08,To prevent loss of pressure in the skid slides/rafts after an emergency evacuation,MIS,17-Jul-2006,DGCA/New-Misc/90,,,0:00, ,Model A330-201/-202/-203/-223/-243/-301/-321/-322/- 323/-341/-342/-343 airplanes;Model A340-211/-212/-213/ - 311/-312/-313 airplanes;A340-541/-642 airplanes.
BELL 429,M090,32,FAA AD 2007-23-01(Superseded FAA AD 2006-12-08),To prevent loss of pressure in the skid slides/rafts after an emergency evacuation,MIS,17-Jul-2006,DGCA/New-Misc/90,,,0:00, ,Model A330-201/-202/-203/-223/-243/-301/-321/-322/- 323/-341/-342/-343 airplanes;Model A340-211/-212/-213/ - 311/-312/-313 airplanes;A340-541/-642 airplanes.
BELL 429,M090,32,FAA AD 2007-23-01(Superseded FAA AD 2006-12-08),To prevent loss of pressure in the skid slides/rafts after an emergency evacuation,MIS,17-Jul-2006,DGCA/New-Misc/90,,,0:00, ,Model A330-201/-202/-203/-223/-243/-301/-321/-322/- 323/-341/-342/-343 airplanes;Model A340-211/-212/-213/ - 311/-312/-313 airplanes;A340-541/-642 airplanes.
BELL 429,M090,32,FAA AD 2007-23-01(Superseded FAA AD 2006-12-08),To prevent loss of pressure in the skid slides/rafts after an emergency evacuation,MIS,17-Jul-2006,DGCA/New-Misc/90,,,0:00, ,Model A330-201/-202/-203/-223/-243/-301/-321/-322/- 323/-341/-342/-343 airplanes;Model A340-211/-212/-213/ - 311/-312/-313 airplanes;A340-541/-642 airplanes.
BELL 429,M090,32,FAA AD 2007-23-01(Superseded FAA AD 2006-12-08),To prevent loss of pressure in the skid slides/rafts after an emergency evacuation,MIS,17-Jul-2006,DGCA/New-Misc/90,,,0:00, ,Model A330-201/-202/-203/-223/-243/-301/-321/-322/- 323/-341/-342/-343 airplanes;Model A340-211/-212/-213/ - 311/-312/-313 airplanes;A340-541/-642 airplanes.
BELL 429,M090,32,FAA AD 2006-12-08,To prevent loss of pressure in the skid slides/rafts after an emergency evacuation,MIS,17-Jul-2006,DGCA/New-Misc/90,,,0:00, ,Model A330-201/-202/-203/-223/-243/-301/-321/-322/- 323/-341/-342/-343 airplanes;Model A340-211/-212/-213/ - 311/-312/-313 airplanes;A340-541/-642 airplanes.
BELL 429,M090,32,FAA AD 2006-12-08,To prevent loss of pressure in the skid slides/rafts after emergency evacuation,MIS,17-Jul-2006,DGCA/New-Misc/90,,,0:00, ,Model A330-201/-202/-203/-223/-243/-301/-321/-322/- 323/-341/-342/-343 airplanes;Model A340-211/-212/-213/ - 311/-312/-313 airplanes;A340-541/-642 airplanes.
BELL 429,M090,32,FAA AD 2007-23-01,To prevent loss of pressure in the skid slides/rafts after an emergency evacuation,MIS,17-Jul-2006,DGCA/New-Misc/90,,,0:00, ,Model A330-201/-202/-203/-223/-243/-301/-321/-322/- 323/-341/-342/-343 airplanes;Model A340-211/-212/-213/ - 311/-312/-313 airplanes;A340-541/-642 airplanes.
BELL 429,M091,100,FAA AD 2006-16-18,"To prevent a bearing error,which could lead to an aeroplane departing from its scheduled flight path",MIS,25-Sep-2006,DGCA/New-Misc/91,,,0:00, ,"Sandel Avionics Incorporated Model ST3400 Terrain Awareness Warning System/Radio Magnetic Indicator (TAWS/ RMI) Units Approved Under Technical Standard Order(s) C113, C151a, or C151b;"
BELL 429,M091,100,FAA AD 2006-12-18,"To Prevent a Bearing Error, Which Could Lead To an Airplane Departing From Its Scheduled Flight Path",MIS,25-Sep-2006,DGCA/New-Misc/91,,,0:00, ,"Sandel Avionics Incorporated Model ST3400 Terrain Awareness Warning System/Radio Magnetic Indicator (TAWS/ RMI) Units Approved Under Technical Standard Order(s) C113, C151a, or C151b;"
BELL 429,M091,100,FAA AD 2006-16-18,"To prevent a bearing error,which could lead to an aeroplane departing from its scheduled flight path",MIS,25-Sep-2006,DGCA/New-Misc/91,,,0:00, ,"Sandel Avionics Incorporated Model ST3400 Terrain Awareness Warning System/Radio Magnetic Indicator (TAWS/ RMI) Units Approved Under Technical Standard Order(s) C113, C151a, or C151b;"
BELL 429,M091,100,FAA AD 2006-16-18,"To prevent a bearing error,which could lead to an aeroplane departing from its scheduled flight path",MIS,25-Sep-2006,DGCA/New-Misc/91,,,0:00, ,"Sandel Avionics Incorporated Model ST3400 Terrain Awareness Warning System/Radio Magnetic Indicator (TAWS/ RMI) Units Approved Under Technical Standard Order(s) C113, C151a, or C151b;"
BELL 429,M091,100,FAA AD 2006-16-18,"To prevent a bearing error,which could lead to an aeroplane departing from its scheduled flight path",MIS,25-Sep-2006,DGCA/New-Misc/91,,,0:00, ,"Sandel Avionics Incorporated Model ST3400 Terrain Awareness Warning System/Radio Magnetic Indicator (TAWS/ RMI) Units Approved Under Technical Standard Order(s) C113, C151a, or C151b;"
BELL 429,M091,100,FAA AD 2006-12-18,"To Prevent a Bearing Error, Which Could Lead To an Airplane Departing From Its Scheduled Flight Path",MIS,25-Sep-2006,DGCA/New-Misc/91,,,0:00, ,"Sandel Avionics Incorporated Model ST3400 Terrain Awareness Warning System/Radio Magnetic Indicator (TAWS/ RMI) Units Approved Under Technical Standard Order(s) C113, C151a, or C151b;"
BELL 429,M091,100,FAA AD 2006-16-18,"To prevent a bearing error,which could lead to an aeroplane departing from its scheduled flight path",MIS,25-Sep-2006,DGCA/New-Misc/91,,,0:00, ,"Sandel Avionics Incorporated Model ST3400 Terrain Awareness Warning System/Radio Magnetic Indicator (TAWS/ RMI) Units Approved Under Technical Standard Order(s) C113, C151a, or C151b;"
BELL 429,M091,100,FAA AD 2006-16-18,"To prevent a bearing error,which could lead to an aeroplane departing from its scheduled flight path",MIS,25-Sep-2006,DGCA/New-Misc/91,,,0:00, ,"Sandel Avionics Incorporated Model ST3400 Terrain Awareness Warning System/Radio Magnetic Indicator (TAWS/ RMI) Units Approved Under Technical Standard Order(s) C113, C151a, or C151b;"
BELL 429,M091 R1,100,FAA AD 2006-16-18 R1,"To prevent a bearing error,which could lead to an aeroplane departing from its scheduled flight path.",MIS#,11-Sep-2019,DGCA/New-Misc/91 R1,,,0:00, ,"Sandel Avionics Incorporated Model ST3400 Terrain Awareness Warning System/Radio Magnetic Indicator (TAWS/ RMI) Units Approved Under Technical Standard Order(s) C113, C151a, or C151b;"
BELL 429,M092,23,FAA AD 2006-19-04,Communication - COMM Units & Transponders - Modification/ Replacement,MIS#,17-Oct-2006,DGCA/New-Misc/92,,,0:00, ,"1.COM unit RCZ-833J (P/N)7510700-763,-863;RCZ-833K P/N 7510700-765,-875;RCZ-851J P/N 7510700-813;RCZ-851K P/N 7510700-815;RCZ-854J P/Ns 7510700-725 and 2. Mode S transponder XS-856A P/Ns 7517400-865."
BELL 429,M092,23,FAA AD 2006-19-04,Communication--Comm Units and Transponders--Modification / Replacement,MIS,17-Oct-2006,DGCA/New-Misc/92,,,0:00, ,"1.COM unit RCZ-833J (P/N)7510700-763,-863;RCZ-833K P/N 7510700-765,-875;RCZ-851J P/N 7510700-813;RCZ-851K P/N 7510700-815;RCZ-854J P/Ns 7510700-725 and 2.Mode S transponder XS-856A P/Ns 7517400-865,"
BELL 429,M092,34,FAA AD 2006-19-04,To prevent the transponder of the COM unit from going into standby mode,MIS,17-Oct-2006,DGCA/New-Misc/92,,,0:00, ,"1.COM unit RCZ-833J (P/N)7510700-763,-863;RCZ-833K P/N 7510700-765,-875;RCZ-851J P/N 7510700-813;RCZ-851K P/N 7510700-815;RCZ-854J P/Ns 7510700-725 and 2.Mode S transponder XS-856AP/Ns 7517400-865,"
BELL 429,M092,23,FAA AD 2006-19-04/ EASA AD 2007-0156,Communication--Comm Units and Transponders--Modification / Replacement,MIS,17-Oct-2006,DGCA/New-Misc/92,,,0:00, ,"1.COM unit RCZ-833J (P/N)7510700-763,-863;RCZ-833K P/N 7510700-765,-875;RCZ-851J P/N 7510700-813;RCZ-851K P/N 7510700-815;RCZ-854J P/Ns 7510700-725 and 2.Mode S transponder XS-856A P/Ns 7517400-865,"
BELL 429,M092,23,FAA AD 2006-19-04/EASA AD 2007-0156,To prevent the transponder of the com unit from going into standby mode.,MIS,17-Oct-2006,DGCA/New-Misc/92,,,0:00, ,"1.COM unit RCZ-833J (P/N)7510700-763,-863;RCZ-833K P/N 7510700-765,-875;RCZ-851J P/N 7510700-813;RCZ-851K P/N 7510700-815;RCZ-854J P/Ns 7510700-725 and 2. Mode S transponder XS-856A P/Ns 7517400-865."
BELL 429,M092,23,FAA AD 2006-19-04,Communication--Comm Units and Transponders--Modification / Replacement,MIS,17-Oct-2006,DGCA/New-Misc/92,,,0:00, ,"1.COM unit RCZ-833J (P/N)7510700-763,-863;RCZ-833K P/N 7510700-765,-875;RCZ-851J P/N 7510700-813;RCZ-851K P/N 7510700-815;RCZ-854J P/Ns 7510700-725 and 2.Mode S transponder XS-856A P/Ns 7517400-865,"
BELL 429,M092,23,FAA AD 2006-19-04,Communication--Comm Units and Transponders--Modification / Replacement,MIS,17-Oct-2006,DGCA/New-Misc/92,,,0:00, ,"1.COM unit RCZ-833J (P/N)7510700-763,-863;RCZ-833K P/N 7510700-765,-875;RCZ-851J P/N 7510700-813;RCZ-851K P/N 7510700-815;RCZ-854J P/Ns 7510700-725 and 2.Mode S transponder XS-856A P/Ns 7517400-865,"
BELL 429,M092,34,FAA AD 2006-19-04,To prevent the transponder of the COM unit from going into standby mode,MIS,17-Oct-2006,DGCA/New-Misc/92,,,0:00, ,"1.COM unit RCZ-833J (P/N)7510700-763,-863;RCZ-833K P/N 7510700-765,-875;RCZ-851J P/N 7510700-813;RCZ-851K P/N 7510700-815;RCZ-854J P/Ns 7510700-725 and 2.Mode S transponder XS-856AP/Ns 7517400-865,"
BELL 429,M092,23,FAA AD 2006-19-04,Communication--Comm Units and Transponders--Modification / Replacement,MIS,17-Oct-2006,DGCA/New-Misc/92,,,0:00, ,"1.COM unit RCZ-833J (P/N)7510700-763,-863;RCZ-833K P/N 7510700-765,-875;RCZ-851J P/N 7510700-813;RCZ-851K P/N 7510700-815;RCZ-854J P/Ns 7510700-725 and 2.Mode S transponder XS-856A P/Ns 7517400-865,"
BELL 429,M093,25,EASA AD 2006-0264,Equipment & Furnishing-Passenger seats rear fitting assembly attachment -replacement,MIS#,13-Sep-2006,DGCA/New-Misc/93,,,0:00, ,"AVIOINTERIORS S.p.A. Passenger Seats (P/N's as listed in the referenced Aviointeriors Service Bulletin) manufactured before October 19, 1998 and on which the requirements of FAA AD 2001-11-11 were not accomplished (Aviointeriors SB 181/A16-03 Rev. A, SB 153/E33-01 Rev. B, SB 11F/E32-01 Rev. A, SB 181/A16-02 Rev. B and SB 184/E23-01 Rev. A) or seats to which the original issue of Aviointeriors SB 180/A84-01 was not applied."
BELL 429,M093,25,EASA AD 2006-0264,Equipment & Furnishing--Passenger Seats Rear Fitting Assembly Attachment--Replacement,MIS,13-Sep-2006,DGCA/New-Misc/93,,,0:00, ,"Rear Fitting Assembly having P/N 311889900017,3121994E0017, 3118899C0017, 3121994A0017, 312199400017 or 3118899A0017"
BELL 429,M093,25,EASA AD 2006-0264,Equipment & Furnishing--Passenger Seats Rear Fitting Assembly Attachment--Replacement,MIS,13-Sep-2006,DGCA/New-Misc/93,,,0:00, ,"Rear Fitting Assembly having P/N 311889900017,3121994E0017, 3118899C0017, 3121994A0017, 312199400017 or 3118899A0017"
BELL 429,M093,25,EASA AD 2006-0264,Equipment and furnishing - Passanger seat rear fitting assembly attachment - replacement,MIS,13-Sep-2006,DGCA/New-Misc/93,,,0:00, ,"Manufacturer-Aviointeriors S.p.A. Rear Fitting Assembly having P/N 311889900017,3121994E0017, 3118899C0017, 3121994A0017, 312199400017 or 3118899A0017."
BELL 429,M093,25,EASA AD 2006-0264,Equipment & Furnishing--Passenger Seats Rear Fitting Assembly Attachment--Replacement,MIS,13-Sep-2006,DGCA/New-Misc/93,,,0:00, ,"Rear Fitting Assembly having P/N 311889900017,3121994E0017, 3118899C0017, 3121994A0017, 312199400017 or 3118899A0017"
BELL 429,M093,25,EASA AD 2006-0264,Equipment & Furnishing--Passenger Seats Rear Fitting Assembly Attachment--Replacement,MIS,13-Sep-2006,DGCA/New-Misc/93,,,0:00, ,"Rear Fitting Assembly having P/N 311889900017,3121994E0017, 3118899C0017, 3121994A0017, 312199400017 or 3118899A0017"
BELL 429,M093,25,EASA AD 2006-0264,Equipment & furnishing - passenger Seats rear fitting assembly Attachment - replacement.,MIS,13-Sep-2006,DGCA/New-Misc/93,,,0:00, ,"Rear Fitting Assembly having P/N 311889900017,3121994E0017, 3118899C0017, 3121994A0017, 312199400017 or 3118899A0017."
BELL 429,M093,25,EASA AD 2006-0264,Equipment and furnishing - Passanger seat rear fitting assembly attachment - replacement,MIS,13-Sep-2006,DGCA/New-Misc/93,,,0:00, ,"Rear Fitting Assembly having P/N 311889900017,3121994E0017, 3118899C0017, 3121994A0017, 312199400017 or 3118899A0017."
BELL 429,M093,25,EASA AD 2006-0264,Equipment & Furnishing--Passenger Seats Rear Fitting Assembly Attachment--Replacement,MIS,13-Sep-2006,DGCA/New-Misc/93,,,0:00, ,"Rear Fitting Assembly having P/N 311889900017,3121994E0017, 3118899C0017, 3121994A0017, 312199400017 or 3118899A0017"
BELL 429,M094,100,FAA AD 2006-18-08,To prevent tread seperation from nose wheel tire during takeoff or landing.,MIS#,11-Oct-2006,DGCA/New-Misc/94,,,0:00, ,"Goodyear aviation tires, P/N 217K22-1,(SB-2005- 32-004)."
BELL 429,M094,32,FAA AD 2006-18-08,To prevent tread seperation from a nosewheel tire during takeoff or landing,MIS,11-Oct-2006,DGCA/New-Misc/94,,,0:00, ,"Goodyear aviation tires, P/N 217K22-1,(SB-2005- 32-004"
BELL 429,M094,32,FAA AD 2006-18-08,To prevent tread seperation from a nosewheel tire during takeoff or landing,MIS,11-Oct-2006,DGCA/New-Misc/94,,,0:00, ,"Goodyear aviation tires, P/N 217K22-1,(SB-2005- 32-004"
BELL 429,M094,100,FAA AD 2006-18-08,To Prevent Thread Seperation From a Nosewheel Tire During Takeoff or Landing.,MIS,11-Oct-2006,DGCA/New-Misc/94,,,0:00, ,"Goodyear aviation tires, P/N 217K22-1,(SB-2005- 32-004)."
BELL 429,M094,100,FAA AD 2006-18-08,To Prevent Thread Seperation From a Nosewheel Tire During Takeoff or Landing.,MIS,11-Oct-2006,DGCA/New-Misc/94,,,0:00, ,"Goodyear aviation tires, P/N 217K22-1,(SB-2005- 32-004)."
BELL 429,M094,100,FAA AD 2006-18-08,To Prevent Thread Seperation From a Nosewheel Tire During Takeoff or Landing.,MIS,11-Oct-2006,DGCA/New-Misc/94,,,0:00, ,"Goodyear aviation tires, P/N 217K22-1,(SB-2005- 32-004)."
BELL 429,M094,100,FAA AD 2006-18-08,To Prevent Thread Seperation From a Nosewheel Tire During Takeoff or Landing.,MIS,11-Oct-2006,DGCA/New-Misc/94,,,0:00, ,"Goodyear aviation tires, P/N 217K22-1,(SB-2005- 32-004)."
BELL 429,M094,100,FAA AD 2006-18-08,To Prevent Thread Seperation From a Nosewheel Tire During Takeoff or Landing.,MIS,11-Oct-2006,DGCA/New-Misc/94,,,0:00, ,"Goodyear aviation tires, P/N 217K22-1,(SB-2005- 32-004)."
BELL 429,M094,32,FAA AD 2006-18-08,To Prevent Thread Seperation From a Nosewheel Tire During Takeoff or Landing.,MIS,11-Oct-2006,DGCA/New-Misc/94,,,0:00, ,"Goodyear aviation tires, P/N 217K22-1,(SB-2005- 32-004)."
BELL 429,M095,32,EASA AD 2006-0328,Landing gear - main landing gear wheel assembly - inspection or repair,MIS,02-Nov-2006,DGCA/New-Misc/95,,,0:00, ,"Messier-Goodrich S.A. or Goodrich-Messier Inc. Main Landing Gear (MLG) Wheel Assemblies having P/N C20500000 and P/N C20452000 installed,but not limited to refer AD."
BELL 429,M095,32,EASA AD 2006-0328,Landing Gear--Main Landing Gear Wheel Assembly--Inspection / Repair,MIS,02-Nov-2006,DGCA/New-Misc/95,,,0:00, ,"Messier-Goodrich S.A. or Goodrich-Messier Inc. Main Landing Gear (MLG) Wheel Assemblies having P/N C20500000 and P/N C20452000 installed,but not limited to refer AD."
BELL 429,M095,32,EASA AD 2006-0328,Landing Gear--Main Landing Gear Wheel Assembly--Inspection / Repair,MIS,02-Nov-2006,DGCA/New-Misc/95,,,0:00, ,"Messier-Goodrich S.A. or Goodrich-Messier Inc. Main Landing Gear (MLG) Wheel Assemblies having P/N C20500000 and P/N C20452000 installed,but not limited to refer AD."
BELL 429,M095,32,EASA AD 2006-0328,Landing Gear--Main Landing Gear Wheel Assembly--Inspection / Repair,MIS,02-Nov-2006,DGCA/New-Misc/95,,,0:00, ,"Messier-Goodrich S.A. or Goodrich-Messier Inc. Main Landing Gear (MLG) Wheel Assemblies having P/N C20500000 and P/N C20452000 installed,but not limited to refer AD."
BELL 429,M095,32,EASA AD 2006-0328,Landing gear - main landing gear wheel assembly - inspection or repair,MIS,02-Nov-2006,DGCA/New-Misc/95,,,0:00, ,"Messier-Goodrich S.A. or Goodrich-Messier Inc. Main Landing Gear (MLG) Wheel Assemblies having P/N C20500000 and P/N C20452000 installed,but not limited to refer AD."
BELL 429,M095,32,EASA AD 2006-0328,Landing Gear- Main Landing Gear Nose Wheeel Assy - Inspection/ Repair,MIS,12-Jun-2006,DGCA/New-Misc/95,,,0:00, ,"Messier-Goodrich S.A. or Goodrich-Messier Inc. Main Landing Gear (MLG) Wheel Assemblies having P/N C20500000 and P/N C20452000 installed,but not limited to refer AD."
BELL 429,M095,32,EASA AD 2006-0328,Landing Gear- Main Landing Gear Nose Wheeel Assy - Inspection/ Repair,MIS,12-Jun-2006,DGCA/New-Misc/95,,,0:00, ,"Messier-Goodrich S.A. or Goodrich-Messier Inc. Main Landing Gear (MLG) Wheel Assemblies having P/N C20500000 and P/N C20452000 installed,but not limited to refer AD."
BELL 429,M095,32,EASA AD 2006-0328,Landing Gear--Main Landing Gear Wheel Assembly--Inspection / Repair,MIS,02-Nov-2006,DGCA/New-Misc/95,,,0:00, ,"Messier-Goodrich S.A. or Goodrich-Messier Inc. Main Landing Gear (MLG) Wheel Assemblies having P/N C20500000 and P/N C20452000 installed,but not limited to refer AD."
BELL 429,M095,32,EASA AD 2006-0328,Landing Gear - Main Landing Gear Wheel,MIS,11-Feb-2006,DGCA/New-Misc/95,,,0:00, ,"Messier-Goodrich S.A. or Goodrich-Messier Inc. Main Landing Gear (MLG) Wheel Assemblies having P/N C20500000 and P/N C20452000 installed, but not limited to refer AD."
BELL 429,M095,32,EASA AD 2006-0328,Landing Gear--Main Landing Gear Wheel Assembly--Inspection / Repair,MIS,02-Nov-2006,DGCA/New-Misc/95,,,0:00, ,"Messier-Goodrich S.A. or Goodrich-Messier Inc. Main Landing Gear (MLG) Wheel Assemblies having P/N C20500000 and P/N C20452000 installed,but not limited to refer AD."
BELL 429,M096,25,EASA AD 2006-0135,Equipment and furnishings passenger seat backrest -inspection/replacement,MIS#,12-Jun-2006,DGCA/New-Misc/96,,,0:00, ,"Passenger Seats 12M( )( )-( )( )( )( )( )( ),all P/N as listed in Aviointeriors SB 12M/F68-01 Rev.1 dated 2 October 2006."
BELL 429,M096,25,EASA AD 2008-0135,Equipment & Furnishings--Passenger Seat Backrest--Inspection / Replacement,MIS,22-Nov-2006,DGCA/New-Misc/96,,,0:00, ,"Passenger Seats 12M( )( )-( )( )( )( )( )( ),all P/N as listed in Aviointeriors SB 12M/F68-01 Rev.1 dated 2 October 2006."
BELL 429,M096,25,EASA AD 2008-0135,Equipment & Furnishings--Passenger Seat Backrest--Inspection / Replacement,MIS,22-Nov-2006,DGCA/New-Misc/96,,,0:00, ,"Passenger Seats 12M( )( )-( )( )( )( )( )( ),all P/N as listed in Aviointeriors SB 12M/F68-01 Rev.1 dated 2 October 2006."
